model,Generated Image,flag,username,timestamp
Hana Hanak houses - abstract expressionism,/home/jere/Desktop/hana_hanak_houses/flagged/Generated Image/tmpgaztl05n.png,,,2023-06-02 00:44:24.603654
Hana Hanak houses - abstract expressionism,/home/jere/Desktop/hana_hanak_houses/flagged/Generated Image/tmpeobnd6_4.png,,,2023-06-02 00:44:26.731002
